whisky galore!,compton mackenzie,farce
ratha‚Äôs creature,clare bell,speculative fiction
dark desire,christine feehan,speculative fiction
john dough and the cherub,l. frank baum,speculative fiction
the spell,ed kelleher,speculative fiction
lair of the lion,christine feehan,speculative fiction
flint the king,mary kirchoff,speculative fiction
the day of the djinn warrior,philip kerr,speculative fiction
the magic of krynn,margaret weis,speculative fiction
she and allan,h. rider haggard,speculative fiction
every inch a king,harry turtledove,speculative fiction
music on the bamboo radio,martin booth,speculative fiction
hrolf kraki's saga,poul anderson,speculative fiction
the queen of air and darkness,t. h. white,speculative fiction
dreamside,graham joyce,speculative fiction
wolf moon,charles de lint,speculative fiction
the throwback,michael carroll,speculative fiction
betrayal,fiona mcintosh,speculative fiction
the star of kazan,eva ibbotson,speculative fiction
maximum ride: school's out forever,james patterson,speculative fiction
dark gold,christine feehan,speculative fiction
dark magic,christine feehan,speculative fiction
prince of annwn,evangeline walton,speculative fiction
the children of llyr,evangeline walton,speculative fiction
the carpathians,janet frame,speculative fiction
the song of rhiannon,evangeline walton,speculative fiction
duluth,gore vidal,speculative fiction
freeglader,chris riddell,speculative fiction
forest of secrets,victoria holmes,speculative fiction
dawn,kate cary,speculative fiction
the eternal flame,t. a. barron,speculative fiction
the people of the mist,h. rider haggard,speculative fiction
the shaving of shagpat,george meredith,speculative fiction
mind game,christine feehan,speculative fiction
night game,christine feehan,speculative fiction
khaled: a tale of arabia,francis marion crawford,speculative fiction
gentlemen of the road,michael chabon,speculative fiction
dark challenge,christine feehan,speculative fiction
se„±or vivo and the coca lord,louis de berni„®res,speculative fiction
skulduggery pleasant,derek landy,speculative fiction
the beast house,richard laymon,speculative fiction
mister b. gone,clive barker,speculative fiction
dark fire,christine feehan,speculative fiction
blood secret,kathryn lasky,speculative fiction
dark demon,christine feehan,speculative fiction
dark reflections,samuel r. delany,speculative fiction
dark secret,christine feehan,speculative fiction
scales of the serpent,richard a. knaak,speculative fiction
birthright,richard a. knaak,speculative fiction
the last summer,ann brashares,speculative fiction
phoenix and ashes,mercedes lackey,speculative fiction
the tenth city,patrick carman,speculative fiction
the veiled prophet,richard a. knaak,speculative fiction
inez,carlos fuentes,speculative fiction
the wood beyond the world,william morris,speculative fiction
the water of the wondrous isles,william morris,speculative fiction
the sundering flood,william morris,speculative fiction
the king's damosel,vera chapman,speculative fiction
mandragora,david mcrobbie,speculative fiction
moonshine,rob thurman,speculative fiction
oath of swords,david weber,speculative fiction
city of the dead,brian keene,speculative fiction
swordbird,nancy yi fan,speculative fiction
verdigris deep,frances hardinge,speculative fiction
the candle in the wind,t. h. white,speculative fiction
eva luna,isabel allende,speculative fiction
skallagrigg,william horwood,speculative fiction
the iron ring,lloyd alexander,speculative fiction
secret of the sirens,julia golding,speculative fiction
the cat who wished to be a man,lloyd alexander,speculative fiction
the gift,alison croggon,speculative fiction
mirror image,michael g. coney,speculative fiction
swimming without a net,maryjanice davidson,speculative fiction
odd girl out,timothy zahn,speculative fiction
one good knight,mercedes lackey,speculative fiction
kai lung's golden hours,ernest bramah,speculative fiction
descent into hell,charles williams,speculative fiction
angel light,andrew greeley,speculative fiction
the goose girl,shannon hale,speculative fiction
enna burning,shannon hale,speculative fiction
blade of fire,stuart hill,speculative fiction
the ministry of fear,graham greene,speculative fiction
ecotopia emerging,ernest callenbach,speculative fiction
kingdom of shadows,barbara erskine,speculative fiction
random acts of senseless violence,jack womack,speculative fiction
dragons of the highlord skies,margaret weis,speculative fiction
elfsorrow,james barclay,speculative fiction
windhaven,lisa tuttle,speculative fiction
island,richard laymon,speculative fiction
blood games,richard laymon,speculative fiction
ingo,helen dunmore,speculative fiction
runcible jones: the gate to nowhere,ian irvine,speculative fiction
runcible jones: the buried city,ian irvine,speculative fiction
master of the books,james moloney,speculative fiction
prophecy: child of earth,elizabeth haydon,speculative fiction
an antarctic mystery,jules verne,speculative fiction
queste,angie sage,speculative fiction
the palace of laughter,jon berkeley,speculative fiction
mistborn: the well of ascension,brandon sanderson,speculative fiction
dawn wind,rosemary sutcliff,speculative fiction
midnight's lair,richard laymon,speculative fiction
a lion among men,gregory maguire,speculative fiction
king of ayodhya,ashok banker,speculative fiction
dreamer,daniel quinn,speculative fiction
bridge of rama,ashok banker,speculative fiction
the armourer's house,rosemary sutcliff,speculative fiction
the house of the wolfings,william morris,speculative fiction
the man whose teeth were all exactly alike,philip k. dick,speculative fiction
child christopher and goldilind the fair,william morris,speculative fiction
a secret atlas,michael a. stackpole,speculative fiction
i was a rat! or the scarlet slippers,philip pullman,speculative fiction
luck in the shadows,lynn flewelling,speculative fiction
thursday's child,sonya hartnett,speculative fiction
when santa fell to earth,cornelia funke,speculative fiction
dark melody,christine feehan,speculative fiction
fatal revenant,stephen r. donaldson,speculative fiction
the woods are dark,richard laymon,speculative fiction
tomoe gozen,jessica amanda salmonson,speculative fiction
freaks: alive on the inside,annette curtis klause,speculative fiction
the four-gated city,doris lessing,speculative fiction
the tide knot,helen dunmore,speculative fiction
shadows return,lynn flewelling,speculative fiction
wolf,gillian cross,speculative fiction
tulku,peter dickinson,speculative fiction
doomwyte,brian jacques,speculative fiction
magic mirror,nathan andrew pinnock,speculative fiction
dragonsbane,barbara hambly,speculative fiction
theodosia and the serpents of chaos,r. l. lafevers,speculative fiction
the raven's knot,robin jarvis,speculative fiction
a wild ride through the night,walter moers,speculative fiction
deep fathom,james rollins,speculative fiction
sebastian darke: prince of fools,philip caveney,speculative fiction
the eternal lover,edgar rice burroughs,speculative fiction
the prince and the pilgrim,mary stewart,speculative fiction
reserved for the cat,mercedes lackey,speculative fiction
traveller,richard adams,speculative fiction
the salt roads,nalo hopkinson,speculative fiction
gloriana,michael moorcock,speculative fiction
honoured enemy,william r. forstchen,speculative fiction
special delivery,steven mark sachs,speculative fiction
portrait in sepia,isabel allende,speculative fiction
fablehaven,brandon mull,speculative fiction
artemis fowl: the lost colony,eoin colfer,speculative fiction
the primrose path,bram stoker,speculative fiction
dragonsword,gael baudino,speculative fiction
the firework-maker's daughter,philip pullman,speculative fiction
dragon war,laurence yep,speculative fiction
duel of dragons,gael baudino,speculative fiction
dragon death,gael baudino,speculative fiction
the wizard of london,mercedes lackey,speculative fiction
london calling,edward bloor,speculative fiction
the city of dreaming books,walter moers,speculative fiction
the king's peace,jo walton,speculative fiction
fortune's fool,mercedes lackey,speculative fiction
the gates of sleep,mercedes lackey,speculative fiction
odalisque,fiona mcintosh,speculative fiction
the aware,glenda larke,speculative fiction
born of man and woman,richard matheson,speculative fiction
waiting: a novel,ha jin,speculative fiction
avilion,robert holdstock,speculative fiction
groosham grange,anthony horowitz,speculative fiction
beguilement,lois mcmaster bujold,speculative fiction
legacy,lois mcmaster bujold,speculative fiction
medalon,jennifer fallon,speculative fiction
agent 13: the invisible empire,flint dille,speculative fiction
zeroville,steve erickson,speculative fiction
agent 13: the serpentine assassin,flint dille,speculative fiction
the danish girl,david ebershoff,speculative fiction
hidden jewel,v. c. andrews,speculative fiction
the land of laughs,jonathan carroll,speculative fiction
leaving fishers,margaret haddix,speculative fiction
bone dance,emma bull,speculative fiction
the dragons of babel,michael swanwick,speculative fiction
the white gryphon,mercedes lackey,speculative fiction
the gorgon's gaze,julia golding,speculative fiction
dragons of summer flame,margaret weis,speculative fiction
ghosts of eden,t. m. gray,speculative fiction
waking the moon,elizabeth hand,speculative fiction
skulduggery pleasant 2: playing with fire,derek landy,speculative fiction
the merchant and the alchemist's gate,ted chiang,speculative fiction
firestar's quest,cherith baldry,speculative fiction
the house of the toad,richard l. tierney,speculative fiction
stoneheart,charlie fletcher,speculative fiction
flight of the nighthawks,raymond e. feist,speculative fiction
dread mountain,jennifer rowe,speculative fiction
merlin effect,t. a. barron,speculative fiction
klingsor's last summer,hermann hesse,speculative fiction
switchers,kate thompson,speculative fiction
a posse of princesses,sherwood smith,speculative fiction
midnight's choice,kate thompson,speculative fiction
which witch?,eva ibbotson,speculative fiction
american beauty,allen steele,speculative fiction
floating dragon,peter straub,speculative fiction
song of the saurials,kate novak,speculative fiction
the fermata,nicholson baker,speculative fiction
death's deputy,l. ron hubbard,speculative fiction
leven thumps and the wrath of ezra,obert skye,speculative fiction
the high king's tomb,kristen britain,speculative fiction
odd and the frost giants,neil gaiman,speculative fiction
the blood knight,gregory keyes,speculative fiction
the born queen,gregory keyes,speculative fiction
storm rising,mercedes lackey,speculative fiction
staring at the sun,julian barnes,speculative fiction
house of many ways,diana wynne jones,speculative fiction
worldbinder,dave wolverton,speculative fiction
equality,edward bellamy,speculative fiction
firebird,mercedes lackey,speculative fiction
ghoul,brian keene,speculative fiction
fergus crane,paul stewart,speculative fiction
the whispering road,livi michael,speculative fiction
the fire-eaters,david almond,speculative fiction
the man in the moon,james blaylock,speculative fiction
dead sea,brian keene,speculative fiction
mistress of the empire,janny wurts,speculative fiction
servant of the empire,janny wurts,speculative fiction
daughter of the empire,janny wurts,speculative fiction
stormchaser,chris riddell,speculative fiction
the gypsy morph,terry brooks,speculative fiction
threshold,sara douglass,speculative fiction
academ's fury,jim butcher,speculative fiction
captain's fury,jim butcher,speculative fiction
the princes of the golden cage,nathalie mallet,speculative fiction
kushiel's mercy,jacqueline carey,speculative fiction
yellow fog,les daniels,speculative fiction
passage,lois mcmaster bujold,speculative fiction
shadowland,peter straub,speculative fiction
mrs. god,peter straub,speculative fiction
the outlaws of sherwood,robin mckinley,speculative fiction
bella at midnight,bagram ibatoulline,speculative fiction
the forever king,molly cochran,speculative fiction
city of bones,cassandra clare,speculative fiction
jhegaala,steven brust,speculative fiction
the boy next door,sinclair smith,speculative fiction
personal demon,kelley armstrong,speculative fiction
the steel remains,richard morgan,speculative fiction
the serpent bride,sara douglass,speculative fiction
resistance,owen sheers,speculative fiction
the kiss of death,marcus sedgwick,speculative fiction
mistborn: the hero of ages,brandon sanderson,speculative fiction
fire study,maria v. snyder,speculative fiction
a walk to remember,nicholas sparks,speculative fiction
breaking dawn,stephenie meyer,speculative fiction
pirate freedom,gene wolfe,speculative fiction
savvy,ingrid law,speculative fiction
club dead,charlaine harris,speculative fiction
the way of shadows,brent weeks,speculative fiction
other people,martin amis,speculative fiction
the stone giant,james blaylock,speculative fiction
glass,ellen hopkins,speculative fiction
city of ashes,cassandra clare,speculative fiction
a civil action,jonathan harr,speculative fiction
superstitious,r. l. stine,speculative fiction
the cleft,doris lessing,speculative fiction
red moon and black mountain,joy chant,speculative fiction
graceling,kristin cashore,speculative fiction
merlin's ring,h. warner munn,speculative fiction
wake,lisa mcmann,speculative fiction
river god,wilbur a. smith,speculative fiction
click here :,denise vega,speculative fiction
spellfire,ed greenwood,speculative fiction
thomas the rhymer,ellen kushner,speculative fiction
winter rose,patricia a. mckillip,speculative fiction
kit's wilderness,david almond,speculative fiction
the wise man's fear,patrick rothfuss,speculative fiction
the monsters of templeton,lauren groff,speculative fiction
veracity,laura bynum,speculative fiction
blood price,tanya huff,speculative fiction
spirit walker,michelle paver,speculative fiction
fog magic,julia sauer,speculative fiction
100 cupboards,n. d. wilson,speculative fiction
seedfolks,paul fleischman,speculative fiction
the creature in the teacher,christopher pike,speculative fiction
crown of shadows,celia s. friedman,speculative fiction
the dead of the night,john marsden,speculative fiction
guardians of ga'hoole: the capture,kathryn lasky,speculative fiction
we have always lived in the castle,shirley jackson,speculative fiction
the sea came in at midnight,steve erickson,speculative fiction
the tower at stony wood,patricia a. mckillip,speculative fiction
the shield ring,rosemary sutcliff,speculative fiction
guardians of ga'hoole book 4: the siege,helen dunmore,speculative fiction
the sentinel,arthur c. clarke,speculative fiction
the hunting of the snark,lewis carroll,speculative fiction
the legend of sleepy hollow,washington irving,speculative fiction
foucault's pendulum,umberto eco,speculative fiction
the pilgrim's progress,john bunyan,speculative fiction
the practice effect,david brin,speculative fiction
fantastic beasts and where to find them,j. k. rowling,speculative fiction
harry potter and the goblet of fire,j. k. rowling,speculative fiction
quidditch through the ages,j. k. rowling,speculative fiction
the monkey's paw,w. w. jacobs,speculative fiction
galilee,clive barker,speculative fiction
the case of charles dexter ward,h. p. lovecraft,speculative fiction
villette,charlotte bront„´,speculative fiction
the castle of otranto,judy blume,speculative fiction
earthsearch,james follett,speculative fiction
callahan's crosstime saloon,spider robinson,speculative fiction
the witches of eastwick,john updike,speculative fiction
sophie's world,jostein gaarder,speculative fiction
orlando: a biography,virginia woolf,speculative fiction
the best and the brightest,david halberstam,speculative fiction
armageddon 2419 a.d.,philip francis nowlan,speculative fiction
the professor,charlotte bront„´,speculative fiction
gertrud,hermann hesse,speculative fiction
mr pye,mervyn peake,speculative fiction
the face of another,kobo abe,speculative fiction
slipback,eric saward,speculative fiction
tablet of destinies,traci harding,speculative fiction
not wanted on the voyage,timothy findley,speculative fiction
millennium people,j. g. ballard,speculative fiction
the eight doctors,terrance dicks,speculative fiction
q-in-law,peter david,speculative fiction
insect dreams: the half life of gregor samsa,marc estrin,speculative fiction
the revelation,bentley little,speculative fiction
malevil,robert merle,speculative fiction
peter and the starcatchers,ridley pearson,speculative fiction
lungbarrow,marc platt,speculative fiction
the ancestor cell,stephen cole,speculative fiction
zotz!,walter karig,speculative fiction
spock must die!,james blish,speculative fiction
vulcan!,kathleen sky,speculative fiction
labyrinth,kate mosse,speculative fiction
the fall of kelvin walker: a fable of the sixties,alasdair gray,speculative fiction
damaged goods,russell t. davies,speculative fiction
the short reign of pippin iv,john steinbeck,speculative fiction
the cleric quintet,robert anthony salvatore,speculative fiction
oh no it isn't!,paul cornell,speculative fiction
rogue saucer,john vornholt,speculative fiction
dragons' wrath,justin richards,speculative fiction
the broken place,michael shaara,speculative fiction
timewyrm: genesys,john peel,speculative fiction
code blue - emergency,james white,speculative fiction
hunter,james byron huggins,speculative fiction
all-consuming fire,andy lane,speculative fiction
midshipman's hope,david feintuch,speculative fiction
challenger's hope,david feintuch,speculative fiction
blast from the past,ben elton,speculative fiction
blood harvest,terrance dicks,speculative fiction
the sleep of reason,martin day,speculative fiction
halflife,mark michalowski,speculative fiction
emotional chemistry,simon a. forward,speculative fiction
timeless,stephen cole,speculative fiction
reckless engineering,nick walters,speculative fiction
history 101,mags l halliday,speculative fiction
the crooked world,steve lyons,speculative fiction
hope,mark clapham,speculative fiction
mad dogs and englishmen,paul magrs,speculative fiction
the ultimate evil,wally k. daly,speculative fiction
timewyrm: apocalypse,nigel robinson,speculative fiction
timewyrm: revelation,paul cornell,speculative fiction
the also people,ben aaronovitch,speculative fiction
cat's cradle: time's crucible,marc platt,speculative fiction
cat's cradle: warhead,andrew cartmel,speculative fiction
nightshade,mark gatiss,speculative fiction
love and war,paul cornell,speculative fiction
transit,ben aaronovitch,speculative fiction
white darkness,david a. mcintee,speculative fiction
blood heat,jim mortimore,speculative fiction
conundrum,steve lyons,speculative fiction
no future,paul cornell,speculative fiction
tragedy day,gareth roberts,speculative fiction
legacy,gary russell,speculative fiction
theatre of war,justin richards,speculative fiction
warlock,andrew cartmel,speculative fiction
sky pirates!,dave stone,speculative fiction
zamper,gareth roberts,speculative fiction
toy soldiers,paul leonard,speculative fiction
head games,steve lyons,speculative fiction
warchild,andrew cartmel,speculative fiction
sleepy,kate orman,speculative fiction
godengine,craig hinton,speculative fiction
so vile a sin,kate orman,speculative fiction
twilight of the gods,mark clapham,speculative fiction
genocide,paul leonard,speculative fiction
war of the daleks,john peel,speculative fiction
alien bodies,lawrence miles,speculative fiction
escape velocity,colin brake,speculative fiction
legacy of the daleks,john peel,speculative fiction
the face-eater,simon messingham,speculative fiction
revolution man,paul leonard,speculative fiction
unnatural history,kate orman,speculative fiction
tempest,christopher bulis,speculative fiction
the sword of forever,jim mortimore,speculative fiction
where angels fear,rebecca levene,speculative fiction
tears of the oracle,justin richards,speculative fiction
a feast unknown,philip jos„© farmer,speculative fiction
who killed kennedy,david bishop,speculative fiction
boogiepop returns: vs imaginator part 1,kouhei kadono,speculative fiction
the baron in the trees,italo calvino,speculative fiction
g„∂sta berlings saga,selma lagerl„∂f,speculative fiction
the cabinet of light,daniel o'mahony,speculative fiction
shell shock,simon a. forward,speculative fiction
down a dark hall,lois duncan,speculative fiction
boogiepop returns: vs imaginator part 2,kouhei kadono,speculative fiction
peculiar lives,philip purser-hallard,speculative fiction
foreign devils,andrew cartmel,speculative fiction
the fallen,thomas e. sniegoski,speculative fiction
death in winter,michael jan friedman,speculative fiction
genius loci,ben aaronovitch,speculative fiction
visser,k. a. applegate,speculative fiction
loser takes all,graham greene,speculative fiction
tremor of intent: an eschatological spy novel,anthony burgess,speculative fiction
the big hunt,lance parkin,speculative fiction
the sorrows of satan,marie corelli,speculative fiction
the straw men,michael marshall smith,speculative fiction
honey for the bears,anthony burgess,speculative fiction
the cage,s. m. stirling,speculative fiction
from time to time,jack finney,speculative fiction
the house on the strand,daphne du maurier,speculative fiction
to the devil ‚Äî a diva!,paul magrs,speculative fiction
wooden heart,martin day,speculative fiction
sting of the zygons,stephen cole,speculative fiction
the last dodo,jacqueline rayner,speculative fiction
exile's honor,mercedes lackey,speculative fiction
the comfort of strangers,ian mcewan,speculative fiction
the spook's battle,joseph delaney,speculative fiction
the ascent of rum doodle,william ernest bowman,speculative fiction
maximum ride: saving the world and other extreme sports,james patterson,speculative fiction
son of rosemary,ira levin,speculative fiction
but'n'ben a-go-go,matthew fitt,speculative fiction
baby is three,theodore sturgeon,speculative fiction
the six messiahs,mark frost,speculative fiction
m„©lusine,sarah monette,speculative fiction
the virtu,sarah monette,speculative fiction
a logic named joe,murray leinster,speculative fiction
the pirate loop,simon guerrier,speculative fiction
the other ones,jean thesman,speculative fiction
shakespeare's memory,jorge luis borges,speculative fiction
the bear went over the mountain,william kotzwinkle,speculative fiction
soma,kemble scott,speculative fiction
the mystery of cloomber,arthur conan doyle,speculative fiction
master of the moon,angela knight,speculative fiction
martha in the mirror,justin richards,speculative fiction
the many hands,dale smith,speculative fiction
snowglobe 7,mike tucker,speculative fiction
62: a model kit,julio cort„°zar,speculative fiction
heroes: saving charlie,aury wallington,speculative fiction
god is dead,ron currie jr.,speculative fiction
the sight,david clement-davies,speculative fiction
the magicians,john boynton priestley,speculative fiction
the year the yankees lost the pennant,douglass wallop,speculative fiction
kirinyaga,mike resnick,speculative fiction
enchantress from the stars,sylvia engdahl,speculative fiction
the coming of the king,nikolai tolstoy,speculative fiction
love & sleep,john crowley,speculative fiction
great sky river,gregory benford,speculative fiction
goddess of yesterday,caroline b. cooney,speculative fiction
cereus blooms at night,shani mootoo,speculative fiction
gilda joyce: psychic investigator,jennifer allison,speculative fiction
ombria in shadow,patricia a. mckillip,speculative fiction
widow's walk,robert b. parker,speculative fiction
the eyeless,lance parkin,speculative fiction
the story of martha,dan abnett,speculative fiction
darwin's children,greg bear,speculative fiction
the shadow speaker,nnedi okorafor-mbachu,speculative fiction
conquerors from the darkness,robert silverberg,speculative fiction
poor miss finch,wilkie collins,speculative fiction
alphabet of dreams,susan fletcher,speculative fiction
earthweb,marc stiegler,speculative fiction
gaia's toys,rebecca ore,speculative fiction
windsor castle,william harrison ainsworth,speculative fiction
wait till helen comes: a ghost story,mary downing hahn,speculative fiction
slow chocolate autopsy,iain sinclair,speculative fiction
the seventh scroll,wilbur a. smith,speculative fiction
the lancashire witches,william harrison ainsworth,speculative fiction
it‚Äôs a battlefield,graham greene,speculative fiction
the borrowers afield,mary norton,speculative fiction
warlock,wilbur a. smith,speculative fiction
the silver ship and the sea,brenda cooper,speculative fiction
grass,sheri s. tepper,speculative fiction
the night of wishes,michael ende,speculative fiction
a room with a view,e. m. forster,travel
trainspotting,irvine welsh,travel
into the wild,jon krakauer,travel
green hills of africa,ernest hemingway,travel
the bean trees,barbara kingsolver,travel
the songlines,bruce chatwin,travel
scarlett,alexandra ripley,travel
a sentimental journey through france and italy,laurence sterne,travel
a tramp abroad,mark twain,travel
the history of mr. polly,h. g. wells,travel
coasting,jonathan raban,travel
five days in paris,danielle steel,travel
bad land: an american romance,jonathan raban,travel
a year in provence,peter mayle,travel
in arabian nights,tahir shah,travel
the tent dwellers,albert bigelow paine,travel
soft city,jonathan raban,travel
angela's ashes,frank mccourt,biography
"a child called ""it""",dave pelzer,biography
fanshawe,nathaniel hawthorne,biography
the last hurrah,edwin o'connor,biography
ellen foster,kaye gibbons,biography
spartacus,lewis grassic gibbon,biography
katherine,anya seton,biography
green mansions,william henry hudson,biography
rascal,sterling north,biography
bringing down the house: the inside story of six mit students who took vegas for millions,ben mezrich,biography
israel potter,herman melville,biography
the curse of lono,hunter s. thompson,biography
a rumor of war,philip caputo,biography
past and present,thomas carlyle,biography
ethel and ernest,raymond briggs,biography
the conqueror,georgette heyer,biography
memoirs of an infantry officer,siegfried sassoon,biography
ardiente paciencia,antonio sk„°rmeta,biography
the missionary position,christopher hitchens,biography
zami: a new spelling of my name,audre lorde,biography
the power broker,robert caro,biography
mao: the unknown story,jung chang,biography
modoc,ralph helfer,biography
anne frank: the biography,melissa m„ºller,biography
follow the rabbit-proof fence,doris pilkington garimara,biography
the duchess of windsor,diana mitford,biography
the white rabbit,bruce marshall,biography
madonna: an intimate biography,j. randy taraborrelli,biography
madonna,andrew morton,biography
madonna: like an icon,lucy o'brien,biography
farmer giles of ham,j. r. r. tolkien,fantasy
aeneid,virgil,fantasy
a midsummer night's dream,william shakespeare,fantasy
alice adams,booth tarkington,fantasy
the waste lands,stephen king,fantasy
the green mile,stephen king,fantasy
smith of wootton major,j. r. r. tolkien,fantasy
coraline,neil gaiman,fantasy
the sandman: dream country,neil gaiman,fantasy
the devil and daniel webster,stephen vincent ben„©t,fantasy
harry potter and the order of the phoenix,j. k. rowling,fantasy
sweep,cate tiernan,fantasy
harry potter and the prisoner of azkaban,j. k. rowling,fantasy
howl's moving castle,diana wynne jones,fantasy
the owl service,alan garner,fantasy
a wrinkle in time,madeleine l'engle,fantasy
ethan frome,edith wharton,fantasy
insomnia,stephen king,fantasy
the book of skulls,robert silverberg,fantasy
from a buick 8,stephen king,fantasy
abarat,clive barker,fantasy
artemis fowl,eoin colfer,fantasy
fevre dream,george r. r. martin,fantasy
the night watch,sergey lukyanenko,fantasy
pursuit of the house-boat,john kendrick bangs,fantasy
my ishmael,daniel quinn,fantasy
on a pale horse,piers anthony,fantasy
a house-boat on the styx,john kendrick bangs,fantasy
the dream-quest of unknown kadath,h. p. lovecraft,fantasy
something wicked this way comes,ray bradbury,fantasy
the pendragon adventure,d.j. machale,fantasy
the stones are hatching,geraldine mccaughrean,fantasy
rough draft,sergey lukyanenko,fantasy
cloud atlas,david mitchell,fantasy
thud!,terry pratchett,fantasy
personal recollections of joan of arc,mark twain,fantasy
zombie lover,piers anthony,fantasy
the talisman,stephen king,fantasy
warcraft: lord of the clans,christie golden,fantasy
indiana jones and the philosopher's stone,max mccoy,fantasy
harry potter and the half-blood prince,j. k. rowling,fantasy
cry to heaven,anne rice,fantasy
zahrah the windseeker,nnedi okorafor-mbachu,fantasy
ironside: a modern faery's tale,holly black,fantasy
tithe : a modern faerie tale,holly black,fantasy
nor crystal tears,alan dean foster,fantasy
ysabel,guy gavriel kay,fantasy
hawkes harbor,s. e. hinton,fantasy
the great god pan,arthur machen,fantasy
brisingr,christopher paolini,fantasy
summerland,michael chabon,fantasy
drowned wednesday,garth nix,fantasy
lady friday,garth nix,fantasy
the burning city,larry niven,fantasy
lisey's story,stephen king,fantasy
sati,christopher pike,fantasy
heat,nancy holder,fantasy
queen of the slayers,nancy holder,fantasy
carnival of souls,nancy holder,fantasy
blackout,keith r. a. decandido,fantasy
the longest night,j. n. williamson,fantasy
the perilous gard,elizabeth marie pope,fantasy
alchemy,margaret mahy,fantasy
the devil's arithmetic,jane yolen,fantasy
shapeshifter's quest,dena landon,fantasy
mister monday,garth nix,fantasy
valiant : a modern tale of faerie,holly black,fantasy
grim tuesday,garth nix,fantasy
not forgotten,nancy holder,fantasy
image,mel odom,fantasy
vengeance,scott ciencin,fantasy
endangered species,jeff mariotte,fantasy
fearless,doranna durgin,fantasy
solitary man,jeff mariotte,fantasy
monolith,john passarella,fantasy
book of the dead,ashley mcconnell,fantasy
bec,darren shan,fantasy
sir thursday,garth nix,fantasy
day watch,vladimir vasilyev,fantasy
hawksong,amelia atwater-rhodes,fantasy
epic,conor kostick,fantasy
the gathering,isobelle carmody,fantasy
slawter,darren shan,fantasy
the sea of trolls,nancy farmer,fantasy
go ask malice,robert joseph levy,fantasy
silverwing,kenneth oppel,fantasy
bones of the moon,jonathan carroll,fantasy
circus of the damned,laurell k. hamilton,fantasy
darkwing,kenneth oppel,fantasy
superior saturday,garth nix,fantasy
the redwall cookbook,brian jacques,fantasy
raven's gate,anthony horowitz,fantasy
fade,robert cormier,fantasy
the descent,jeff long,fantasy
the lunatic cafe,laurell k. hamilton,fantasy
bloody bones,laurell k. hamilton,fantasy
portal through time,alice henderson,fantasy
the killing dance,laurell k. hamilton,fantasy
rock jaw: master of the eastern border,jeff smith,fantasy
old man's cave,jeff smith,fantasy
ghost circles,jeff smith,fantasy
crown of horns,jeff smith,fantasy
the eternal champion,michael moorcock,fantasy
killers of the dawn,darren shan,fantasy
the house with a clock in its walls,john bellairs,fantasy
the house on the borderland,william hope hodgson,fantasy
for love of mother-not,alan dean foster,fantasy
blue moon,laurell k. hamilton,fantasy
curse of the mistwraith,janny wurts,fantasy
endymion spring: open the book that unlocks the secret,matthew skelton,fantasy
stormed fortress,janny wurts,fantasy
bad bargain,diana g. gallagher,fantasy
incubus dreams,laurell k. hamilton,fantasy
the prophet of yonwood,jeanne duprau,fantasy
the wild geese,mori ogai,fantasy
un lun dun,china mi„©ville,fantasy
industrial magic,kelley armstrong,fantasy
broken,kelley armstrong,fantasy
twilight watch,sergey lukyanenko,fantasy
a stroke of midnight,laurell k. hamilton,fantasy
seduced by moonlight,laurell k. hamilton,fantasy
a caress of twilight,laurell k. hamilton,fantasy
a kiss of shadows,laurell k. hamilton,fantasy
mistral's kiss,laurell k. hamilton,fantasy
inkdeath,cornelia funke,fantasy
taronga,victor kelleher,fantasy
the brothers,c. j. cherryh,fantasy
east,edith pattou,fantasy
monster blood tattoo book one: foundling,d. m. cornish,fantasy
the lightning thief,rick riordan,fantasy
mistborn: the final empire,brandon sanderson,fantasy
"the boats of the ""glen carrig""",william hope hodgson,fantasy
blood beast,darren shan,fantasy
demon apocalypse,darren shan,fantasy
the stress of her regard,tim powers,fantasy
castle in the air,diana wynne jones,fantasy
the thief,megan whalen turner,fantasy
treasure hunters,jeff smith,fantasy
the thief queen's daughter,elizabeth haydon,fantasy
angel fire east,terry brooks,fantasy
conan of aquilonia,lin carter,fantasy
sunshine,robin mckinley,fantasy
conan of cimmeria,lin carter,fantasy
conan the warrior,robert e. howard,fantasy
conan the adventurer,l. sprague de camp,fantasy
conan the freebooter,l. sprague de camp,fantasy
conan,lin carter,fantasy
conan the usurper,l. sprague de camp,fantasy
conan the wanderer,l. sprague de camp,fantasy
conan the swordsman,bj„∂rn nyberg,fantasy
the treasure of tranicos,l. sprague de camp,fantasy
the children of h„∫rin,christopher tolkien,fantasy
the sherwood ring,elizabeth marie pope,fantasy
eucalyptus,murray bail,fantasy
the titan's curse,rick riordan,fantasy
the one tree,stephen r. donaldson,fantasy
treasure box,orson scott card,fantasy
gossamer,lois lowry,fantasy
reunion,meg cabot,fantasy
final watch,sergey lukyanenko,fantasy
the briar king,gregory keyes,fantasy
storm front,jim butcher,fantasy
the queen of attolia,megan whalen turner,fantasy
blood lines,eileen wilks,fantasy
night season,eileen wilks,fantasy
beneath the moors,brian lumley,fantasy
the third grave,david f. case,fantasy
dragonfly,frederic s. durbin,fantasy
the doom brigade,don perrin,fantasy
the king of attolia,megan whalen turner,fantasy
cold tom,sally prue,fantasy
the house of pendragon i: the firebrand,debra a. kemp,fantasy
the black tattoo,sam enthoven,fantasy
